geo_description,label,year,description,estimate,moe,se,cv
"Guilford County, NC",HD01_VD04,2011,Estimate; Quintile Upper Limits: - Third Quintile,55795,2266.21,1156.23,2.07
United States,HD01_VD05,2011,Estimate; Quintile Upper Limits: - Fourth Quintile,101685,128.68,65.65,0.06
North Carolina,HD01_VD05,2011,Estimate; Quintile Upper Limits: - Fourth Quintile,89167,1299.91,663.22,0.74
"Durham County, NC",HD01_VD05,2011,Estimate; Quintile Upper Limits: - Fourth Quintile,95578,7148.94,3647.42,3.82
"Forsyth County, NC",HD01_VD05,2011,Estimate; Quintile Upper Limits: - Fourth Quintile,91179,4648,2371.43,2.6
"Guilford County, NC",HD01_VD05,2011,Estimate; Quintile Upper Limits: - Fourth Quintile,90847,4254.81,2170.82,2.39
United States,HD01_VD06,2011,Estimate; Lower Limit of Top 5 Percent,187087,519.49,265.05,0.14
North Carolina,HD01_VD06,2011,Estimate; Lower Limit of Top 5 Percent,161906,2723.74,1389.66,0.86
"Durham County, NC",HD01_VD06,2011,Estimate; Lower Limit of Top 5 Percent,173579,21190.64,10811.55,6.23
"Forsyth County, NC",HD01_VD06,2011,Estimate; Lower Limit of Top 5 Percent,174360,7629.11,3892.4,2.23
"Guilford County, NC",HD01_VD06,2011,Estimate; Lower Limit of Top 5 Percent,164128,9655.83,4926.44,3
United States,HD01_VD02,2012,Estimate; Quintile Upper Limits: - Lowest Quintile,20968,48.85,24.92,0.12
North Carolina,HD01_VD02,2012,Estimate; Quintile Upper Limits: - Lowest Quintile,18795,314.55,160.48,0.85
"Durham County, NC",HD01_VD02,2012,Estimate; Quintile Upper Limits: - Lowest Quintile,20537,1845.62,941.64,4.59
"Forsyth County, NC",HD01_VD02,2012,Estimate; Quintile Upper Limits: - Lowest Quintile,17816,1137.87,580.55,3.26
"Guilford County, NC",HD01_VD02,2012,Estimate; Quintile Upper Limits: - Lowest Quintile,19615,1360.68,694.22,3.54
United States,HD01_VD03,2012,Estimate; Quintile Upper Limits: - Second Quintile,40352,66.72,34.04,0.08
North Carolina,HD01_VD03,2012,Estimate; Quintile Upper Limits: - Second Quintile,35412,364.6,186.02,0.53
"Durham County, NC",HD01_VD03,2012,Estimate; Quintile Upper Limits: - Second Quintile,41257,2328.17,1187.84,2.88
"Forsyth County, NC",HD01_VD03,2012,Estimate; Quintile Upper Limits: - Second Quintile,32838,1936.17,987.84,3.01
"Guilford County, NC",HD01_VD03,2012,Estimate; Quintile Upper Limits: - Second Quintile,35295,1610.89,821.88,2.33
United States,HD01_VD04,2012,Estimate; Quintile Upper Limits: - Third Quintile,64536,109.62,55.93,0.09
North Carolina,HD01_VD04,2012,Estimate; Quintile Upper Limits: - Third Quintile,56147,543.32,277.2,0.49
"Durham County, NC",HD01_VD04,2012,Estimate; Quintile Upper Limits: - Third Quintile,63574,3286.13,1676.6,2.64
"Forsyth County, NC",HD01_VD04,2012,Estimate; Quintile Upper Limits: - Third Quintile,53716,2766.64,1411.55,2.63
"Guilford County, NC",HD01_VD04,2012,Estimate; Quintile Upper Limits: - Third Quintile,55019,2769.02,1412.77,2.57
United States,HD01_VD05,2012,Estimate; Quintile Upper Limits: - Fourth Quintile,103093,201.36,102.73,0.1
North Carolina,HD01_VD05,2012,Estimate; Quintile Upper Limits: - Fourth Quintile,89874,980.6,500.31,0.56
"Durham County, NC",HD01_VD05,2012,Estimate; Quintile Upper Limits: - Fourth Quintile,105147,6734.3,3435.87,3.27
"Forsyth County, NC",HD01_VD05,2012,Estimate; Quintile Upper Limits: - Fourth Quintile,92841,4968.51,2534.95,2.73
"Guilford County, NC",HD01_VD05,2012,Estimate; Quintile Upper Limits: - Fourth Quintile,87714,3456.51,1763.53,2.01
United States,HD01_VD06,2012,Estimate; Lower Limit of Top 5 Percent,191770,449.19,229.18,0.12
North Carolina,HD01_VD06,2012,Estimate; Lower Limit of Top 5 Percent,164247,3211.06,1638.3,1
"Durham County, NC",HD01_VD06,2012,Estimate; Lower Limit of Top 5 Percent,183825,14287.15,7289.36,3.97
"Forsyth County, NC",HD01_VD06,2012,Estimate; Lower Limit of Top 5 Percent,182104,30069.62,15341.64,8.42
"Guilford County, NC",HD01_VD06,2012,Estimate; Lower Limit of Top 5 Percent,162212,11027.23,5626.14,3.47
United States,HD01_VD02,2013,Estimate; Quintile Upper Limits: - Lowest Quintile,21433,56,28.57,0.13
North Carolina,HD01_VD02,2013,Estimate; Quintile Upper Limits: - Lowest Quintile,19468,294.3,150.15,0.77
"Durham County, NC",HD01_VD02,2013,Estimate; Quintile Upper Limits: - Lowest Quintile,22697,1955.23,997.57,4.4
"Forsyth County, NC",HD01_VD02,2013,Estimate; Quintile Upper Limits: - Lowest Quintile,18758,1914.72,976.9,5.21
"Guilford County, NC",HD01_VD02,2013,Estimate; Quintile Upper Limits: - Lowest Quintile,19420,1520.34,775.68,3.99
United States,HD01_VD03,2013,Estimate; Quintile Upper Limits: - Second Quintile,41110,76.26,38.91,0.09
North Carolina,HD01_VD03,2013,Estimate; Quintile Upper Limits: - Second Quintile,36093,362.21,184.8,0.51
"Durham County, NC",HD01_VD03,2013,Estimate; Quintile Upper Limits: - Second Quintile,40937,2417.53,1233.43,3.01
"Forsyth County, NC",HD01_VD03,2013,Estimate; Quintile Upper Limits: - Second Quintile,33776,1971.91,1006.08,2.98
"Guilford County, NC",HD01_VD03,2013,Estimate; Quintile Upper Limits: - Second Quintile,35912,1581.11,806.69,2.25
United States,HD01_VD04,2013,Estimate; Quintile Upper Limits: - Third Quintile,65953,112,57.14,0.09
North Carolina,HD01_VD04,2013,Estimate; Quintile Upper Limits: - Third Quintile,57032,558.81,285.11,0.5
"Durham County, NC",HD01_VD04,2013,Estimate; Quintile Upper Limits: - Third Quintile,66138,5073.36,2588.45,3.91
"Forsyth County, NC",HD01_VD04,2013,Estimate; Quintile Upper Limits: - Third Quintile,56685,2304.34,1175.68,2.07
"Guilford County, NC",HD01_VD04,2013,Estimate; Quintile Upper Limits: - Third Quintile,57720,2881.02,1469.91,2.55
United States,HD01_VD05,2013,Estimate; Quintile Upper Limits: - Fourth Quintile,106101,169.19,86.32,0.08
North Carolina,HD01_VD05,2013,Estimate; Quintile Upper Limits: - Fourth Quintile,91701,629.11,320.97,0.35
"Durham County, NC",HD01_VD05,2013,Estimate; Quintile Upper Limits: - Fourth Quintile,110040,6569.87,3351.97,3.05
"Forsyth County, NC",HD01_VD05,2013,Estimate; Quintile Upper Limits: - Fourth Quintile,93322,4652.77,2373.86,2.54
"Guilford County, NC",HD01_VD05,2013,Estimate; Quintile Upper Limits: - Fourth Quintile,94562,3576.85,1824.92,1.93
United States,HD01_VD06,2013,Estimate; Lower Limit of Top 5 Percent,200234,328.85,167.78,0.08
North Carolina,HD01_VD06,2013,Estimate; Lower Limit of Top 5 Percent,171855,2294.81,1170.82,0.68
"Durham County, NC",HD01_VD06,2013,Estimate; Lower Limit of Top 5 Percent,215966,19393.87,9894.83,4.58
"Forsyth County, NC",HD01_VD06,2013,Estimate; Lower Limit of Top 5 Percent,181072,12060.26,6153.19,3.4
"Guilford County, NC",HD01_VD06,2013,Estimate; Lower Limit of Top 5 Percent,176701,11393.02,5812.77,3.29
United States,HD01_VD02,2014,Estimate; Quintile Upper Limits: - Lowest Quintile,21909,48.85,24.92,0.11
North Carolina,HD01_VD02,2014,Estimate; Quintile Upper Limits: - Lowest Quintile,19916,347.91,177.51,0.89
"Durham County, NC",HD01_VD02,2014,Estimate; Quintile Upper Limits: - Lowest Quintile,20540,1825.36,931.31,4.53
"Forsyth County, NC",HD01_VD02,2014,Estimate; Quintile Upper Limits: - Lowest Quintile,19067,1339.23,683.28,3.58
"Guilford County, NC",HD01_VD02,2014,Estimate; Quintile Upper Limits: - Lowest Quintile,19800,1490.55,760.48,3.84
United States,HD01_VD03,2014,Estimate; Quintile Upper Limits: - Second Quintile,42004,64.34,32.83,0.08
North Carolina,HD01_VD03,2014,Estimate; Quintile Upper Limits: - Second Quintile,36751,396.77,202.43,0.55
"Durham County, NC",HD01_VD03,2014,Estimate; Quintile Upper Limits: - Second Quintile,39944,2087.49,1065.05,2.67
"Forsyth County, NC",HD01_VD03,2014,Estimate; Quintile Upper Limits: - Second Quintile,36646,2309.11,1178.12,3.21
"Guilford County, NC",HD01_VD03,2014,Estimate; Quintile Upper Limits: - Second Quintile,35963,1364.26,696.05,1.94
United States,HD01_VD04,2014,Estimate; Quintile Upper Limits: - Third Quintile,67650,132.26,67.48,0.1
